,组合,指数
2010-11-18,0.01529394701303155,0.015765
2010-11-19,0.03175500109553297,0.030133
2010-11-22,0.016756617009241914,0.013705
2010-11-23,-0.0052071521951176925,-0.016974
2010-11-24,0.027513568719185866,0.028224999999999997
2010-11-25,0.00625285240156348,0.010307
2010-11-26,-0.005870593746100106,-0.006115000000000001
2010-11-29,0.00797155480887124,0.0040360000000000005
2010-11-30,-0.02316241642362371,-0.026268
2010-12-01,-0.002822515240019085,0.001167
2010-12-02,0.0065859351072354855,0.0042309999999999995
2010-12-03,-0.004216467387984091,-0.007419
2010-12-06,-0.012589486240711325,-0.016437999999999998
2010-12-07,0.015774822271354072,0.013566
2010-12-08,-0.00131085227213179,-0.002874
2010-12-09,-0.01671535534983226,-0.020724
2010-12-10,0.01806838550224121,0.014958
2010-12-13,0.0322009545305364,0.027753999999999997
2010-12-14,0.007710445403381394,0.012554000000000001
2010-12-15,-0.005664698082856634,-0.002547
2010-12-16,-0.000812111741381071,-0.002644
2010-12-17,0.0026225827732135882,0.002202
2010-12-20,-0.0067005862715722175,-0.012396
2010-12-21,0.01507519301053084,0.011477
2010-12-22,-0.00890715995620095,-0.009239
2010-12-23,-0.02258313133263723,-0.020295
2010-12-24,-0.015188890673269784,-0.015382
2010-12-27,-0.02396344142401996,-0.028431
2010-12-28,-0.018659862626504764,-0.024565
2010-12-29,0.01934533962425955,0.017342
2010-12-30,0.006519257705914994,0.003316
2010-12-31,0.025098524332300757,0.022414
2011-01-04,0.015944620722688766,0.015148
2011-01-05,0.007806189072389724,0.0034460000000000003
2011-01-06,-0.007397732234009191,-0.005465
2011-01-07,-0.008265226122600278,-0.005226
2011-01-10,-0.025878617051708463,-0.029061
2011-01-11,-0.008544432856327555,-0.005329
2011-01-12,0.00688103660018613,0.005985000000000001
2011-01-13,-0.0013362017624508609,-0.0014119999999999998
2011-01-14,-0.02038482074429282,-0.021408
2011-01-17,-0.04158912281422077,-0.043086
2011-01-18,0.003860069779886066,0.0037719999999999997
2011-01-19,0.027131872320733663,0.024051999999999997
2011-01-20,-0.028047836182364172,-0.036316
2011-01-21,0.004677347330892534,0.006469
2011-01-24,-0.020892968386053146,-0.023927999999999998
2011-01-25,-0.016203858557309103,-0.012865
2011-01-26,0.019785393271310348,0.019112
2011-01-27,0.020030784411751545,0.017609
2011-01-28,0.013448460353291614,0.010082
2011-01-31,0.013235928134627484,0.013776
2011-02-01,-0.0035228849258132078,0.004277
2011-02-09,-0.005248127682301873,-0.004505
2011-02-10,0.029091241638705023,0.026955
2011-02-11,0.01536889041267364,0.011160000000000002
2011-02-14,0.0215401451561148,0.017901
2011-02-15,0.0014080251711592329,-0.000576
2011-02-16,0.021084198747709948,0.01704
2011-02-17,0.0058971915130563435,0.007029
2011-02-18,-0.014509940958354672,-0.009233
2011-02-21,0.025046622090581394,0.020548
2011-02-22,-0.03672160443603356,-0.026417000000000003
2011-02-23,0.011654180466400543,0.014117
2011-02-24,0.00046821246320205497,0.009776
2011-02-25,0.00048385864598499096,0.001008
2011-02-28,0.013536028122646648,0.012401
2011-03-01,0.005911929437242058,0.005345
2011-03-02,-0.007391532922556676,-0.0026750000000000003
2011-03-03,-0.0205008497660516,-0.019514
2011-03-04,0.010508334273185538,0.011694
2011-03-07,0.013684963160715212,0.013937
2011-03-08,0.003575805824936218,0.0053490000000000005
2011-03-09,0.009932053123980378,0.0030259999999999996
2011-03-10,-0.005469097761485853,-0.007325000000000001
2011-03-11,-6.998891717913099e-05,-0.000713
2011-03-14,0.014059414985741148,0.009785
2011-03-15,-0.01203662445621434,-0.011311
2011-03-16,0.0034089257341427532,0.013257000000000001
2011-03-17,-0.021076025961992206,-0.018314999999999998
2011-03-18,0.003671329208370988,0.004467
2011-03-21,-0.0038454507332250643,-0.007963
2011-03-22,0.001820827147697379,-5.7999999999999994e-05
2011-03-23,0.01724670720321342,0.01367
2011-03-24,-0.002204686774252118,0.0027010000000000003
2011-03-25,0.0033702979850183112,0.008334000000000001
2011-03-28,-0.010165386519588315,-0.002454
2011-03-29,-0.021510790372569755,-0.017001
2011-03-30,-0.00672158307217563,-0.009119
2011-03-31,-0.009722678368091821,-0.012665
2011-04-01,0.011898490651574225,0.012934000000000001
2011-04-06,-0.008960300141524602,-0.001429
2011-04-07,0.009772561158396089,0.006309
2011-04-08,0.008674731361831833,0.011600999999999998
2011-04-11,-0.012528186813134612,-0.008092
2011-04-12,-0.004490899999449182,0.001434
2011-04-13,0.012413629023873218,0.009922
2011-04-14,-0.004104188593908819,-0.0027760000000000003
2011-04-15,0.002171848259678199,0.002242
2011-04-18,0.00041995888608226096,0.003192
2011-04-19,-0.012559512571653777,-0.012116
2011-04-20,0.00841756692141038,0.007086
2011-04-21,0.006823954297395796,0.006932000000000001
2011-04-22,-0.003605452642494011,-0.004431
2011-04-25,-0.019714833288607347,-0.021365
2011-04-26,-0.012830137775582395,-0.016656999999999998
2011-04-27,-0.007874381200922653,-0.011483
2011-04-28,-0.029891523720343205,-0.032173
2011-04-29,0.013852196731072297,0.017128
2011-05-03,0.01505607342679216,0.017305
2011-05-04,-0.02133574222038848,-0.021499
2011-05-05,0.002315962841368035,0.0025819999999999997
2011-05-06,0.005405328809834575,0.0047139999999999994
2011-05-09,0.007027675788721766,0.008237
2011-05-10,0.004530228021621729,0.00588
2011-05-11,0.001923499972056763,0.002199
2011-05-12,-0.012218888836783235,-0.013327
2011-05-13,0.00415533573828175,0.007971
2011-05-16,0.000350073231298653,-0.00037900000000000005
2011-05-17,-0.002154112986676115,-0.005459
2011-05-18,0.0055859177538315485,0.006614
2011-05-19,-0.002468240422317857,-0.00536
2011-05-20,-0.003377064770069493,-0.003424
2011-05-23,-0.030560354690454483,-0.037765
2011-05-24,-0.003645482123617372,-0.001592
2011-05-25,-0.011130348615596586,-0.011414
